Category: All categories,,
,,
Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
1/8/2012,39,0
1/15/2012,0,0
1/22/2012,0,0
1/29/2012,0,0
2/5/2012,0,79
2/12/2012,33,0
2/19/2012,0,0
2/26/2012,0,0
3/4/2012,0,0
3/11/2012,0,0
3/18/2012,0,72
3/25/2012,0,43
4/1/2012,0,0
4/8/2012,0,75
4/15/2012,0,0
4/22/2012,0,0
4/29/2012,100,40
5/6/2012,0,0
5/13/2012,0,0
5/20/2012,0,0
5/27/2012,0,36
6/3/2012,0,0
6/10/2012,0,0
6/17/2012,47,0
6/24/2012,0,0
7/1/2012,0,0
7/8/2012,0,0
7/15/2012,0,67
7/22/2012,0,0
7/29/2012,0,0
8/5/2012,0,35
8/12/2012,40,0
8/19/2012,0,0
8/26/2012,0,0
9/2/2012,0,0
9/9/2012,0,0
9/16/2012,0,0
9/23/2012,0,0
9/30/2012,0,0
10/7/2012,0,0
10/14/2012,0,0
10/21/2012,0,0
10/28/2012,0,0
11/4/2012,0,0
11/11/2012,0,0
11/18/2012,0,0
11/25/2012,0,0
12/2/2012,24,27
12/9/2012,0,0
12/16/2012,0,0
12/23/2012,0,0
12/30/2012,0,0
